GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_celltype_T-CD8_NS,ENSG00000145335,358,8.183933326737722e-11,0.9000259408504703,2.2435725855590807e-12,0.024598255402336143,0.07537580366311061,0.09997405906544676,3.064274373537565,1e-5,SNCA,expression,celltype,T-CD8,NS,Not_signif
foo2020,expression_celltype_T-CD8_NS,ENSG00000188906,928,1.49227505964958e-8,0.8506697677457666,1.3358743666042154e-9,0.07607812025538535,0.07325209574022118,0.14933021599560653,0.9628536495686599,1e-5,LRRK2,expression,celltype,T-CD8,NS,Not_signif
foo2020,expression_subtype_B-memory-k_COV,ENSG00000145335,358,8.308359104120299e-11,0.9137096333836112,2.234205330633297e-12,0.024508833530379068,0.06178153300069211,0.08629036653107118,2.5207863493018947,1e-5,SNCA,expression,subtype,B-memory-k,COV,Not_signif
foo2020,expression_subtype_B-memory-k_COV,ENSG00000188906,928,1.398805008120367e-8,0.7973872669685897,2.3581092657635603e-9,0.13435550390652112,0.06825721277873008,0.20261271668525122,0.5080343625239243,1e-5,LRRK2,expression,subtype,B-memory-k,COV,Not_signif
foo2020,expression_subtype_B-memory-k_IAV,ENSG00000145335,358,8.07135428743575e-11,0.8876450902591337,3.8853179392978224e-12,0.042658987147220544,0.06969592250904835,0.1123549096562689,1.6337922480090905,1e-5,SNCA,expression,subtype,B-memory-k,IAV,Not_signif
foo2020,expression_subtype_B-memory-k_IAV,ENSG00000188906,928,1.3979193153311795e-8,0.7968823787615531,2.2165847866817375e-9,0.12627933537825164,0.07683826966441701,0.20311760504266865,0.6084785720027667,1e-5,LRRK2,expression,subtype,B-memory-k,IAV,Not_signif
foo2020,expression_subtype_B-memory-k_NS,ENSG00000145335,358,8.186477127175698e-11,0.9003056946425796,3.162124259844416e-12,0.03471039546375512,0.06498390980863851,0.09969430527239363,1.8721742849773992,1e-5,SNCA,expression,subtype,B-memory-k,NS,Not_signif
foo2020,expression_subtype_B-memory-k_NS,ENSG00000188906,928,1.3992368878561593e-8,0.7976334595402373,2.092023756056337e-9,0.11917239157007227,0.08319413280529882,0.2023665243753711,0.6980990455023421,1e-5,LRRK2,expression,subtype,B-memory-k,NS,Not_signif
foo2020,expression_subtype_B-memory-l_COV,ENSG00000145335,358,7.112543621965013e-11,0.7822001364899714,3.2384774494221755e-12,0.03543270443275307,0.18236715900291076,0.21779986343566382,5.146859713997312,1e-5,SNCA,expression,subtype,B-memory-l,COV,Not_signif
foo2020,expression_subtype_B-memory-l_COV,ENSG00000188906,928,1.459737548475612e-8,0.83212179504167,1.6213992847406202e-9,0.09235216309604843,0.07552602564350669,0.16787818873955512,0.817804619962803,1e-5,LRRK2,expression,subtype,B-memory-l,COV,Not_signif
foo2020,expression_subtype_B-memory-l_IAV,ENSG00000145335,358,7.911185961932455e-11,0.8700306202848274,2.649504776740907e-12,0.02903692747741162,0.10093245215600066,0.1299693796334123,3.476003176800229,1e-5,SNCA,expression,subtype,B-memory-l,IAV,Not_signif
foo2020,expression_subtype_B-memory-l_IAV,ENSG00000188906,928,1.4583115511966843e-8,0.8313089068504298,1.7624905734666912e-9,0.10040229384120027,0.06828878296276217,0.16869107680396245,0.6801516215433291,1e-5,LRRK2,expression,subtype,B-memory-l,IAV,Not_signif
foo2020,expression_subtype_B-memory-l_NS,ENSG00000145335,358,8.185658592774075e-11,0.9002156765344737,2.5364920287993962e-12,0.02782304389145173,0.07196127948968238,0.0997843233811341,2.586391329806713,1e-5,SNCA,expression,subtype,B-memory-l,NS,Not_signif
foo2020,expression_subtype_B-memory-l_NS,ENSG00000188906,928,1.5244414940969712e-8,0.8690062085672042,1.01299206359458e-9,0.05767218034156239,0.07332159483382517,0.13099377517538757,1.2713511852608903,1e-5,LRRK2,expression,subtype,B-memory-l,NS,Not_signif
foo2020,expression_subtype_B-naive-k_COV,ENSG00000145335,358,7.86944034820908e-11,0.8654396572640254,6.007592157580962e-12,0.06599977806920859,0.06856056458206441,0.134560342651273,1.038799926117487,1e-5,SNCA,expression,subtype,B-naive-k,COV,Not_signif
foo2020,expression_subtype_B-naive-k_COV,ENSG00000188906,928,1.4608667871127723e-8,0.8327655162933194,1.7036025178569755e-9,0.09704348446352501,0.07019098293088473,0.16723446739440972,0.7232941327170386,1e-5,LRRK2,expression,subtype,B-naive-k,COV,Not_signif
foo2020,expression_subtype_B-naive-k_IAV,ENSG00000145335,358,7.991445933866058e-11,0.8788571898410786,2.8048099440138417e-12,0.030755437097760293,0.09038737297844102,0.12114281007620131,2.9389071171751713,1e-5,SNCA,expression,subtype,B-naive-k,IAV,Not_signif
foo2020,expression_subtype_B-naive-k_IAV,ENSG00000188906,928,1.4227967420322755e-8,0.8110637286789758,2.0603145005720563e-9,0.11737644324580165,0.07155981178694147,0.18893625503274314,0.6096607616324329,1e-5,LRRK2,expression,subtype,B-naive-k,IAV,Not_signif
foo2020,expression_subtype_B-naive-k_NS,ENSG00000145335,358,5.983616576308792e-11,0.6580466780180284,9.137511072115258e-12,0.10024783507238573,0.2417054868406123,0.34195332191299804,2.411079368108893,1e-5,SNCA,expression,subtype,B-naive-k,NS,Not_signif
foo2020,expression_subtype_B-naive-k_NS,ENSG00000188906,928,1.5141806441565884e-8,0.8631570222665841,1.0746519864849539e-9,0.0611847609050554,0.07565820061190139,0.1368429615169568,1.2365530156979025,1e-5,LRRK2,expression,subtype,B-naive-k,NS,Not_signif
